doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
course-registration,data/k3_university/course-registration.md,Hướng dẫn thực hiện Quy chế đào tạo đại học và cao đẳng hệ chính quy theo hệ thống tín chỉ,https://hotrosinhvien.utc.edu.vn/tin-tuc/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-th%E1%BB%B1c-hi%E1%BB%87n-quy-ch%E1%BA%BF-%C4%91%C3%A0o-t%E1%BA%A1o-%C4%91%E1%BA%A1i-h%E1%BB%8Dc-v%C3%A0-cao-%C4%91%E1%BA%B3ng-h%E1%BB%87-ch%C3%ADnh-quy-theo-h%E1%BB%87-th%E1%BB%91ng,2026-08-03,2018-08-10,public-page
course-registration-process,data/k3_university/course-registration-process.md,Quy trình đăng ký học qua hệ thống QLĐT (Khoa Cơ khí),https://fme.utc.edu.vn/?q=goc-sinh-vien/c%C3%A1c-clb-sinh-vi%C3%AAn/quy-tr%C3%ACnh-%C4%91%C4%83ng-k%C3%BD-h%E1%BB%8Dc,2026-08-03,not-stated,public-page
dao-tao-he-thcs-va-thpt,data\k3_university\dao-tao-he-thcs-va-thpt.md,Đào tạo hệ THCS và THPT,https://vnu.edu.vn/dao-tao/dao-tao-he-thcs-va-thpt,2026-08-03,1.0,CC BY 4.0
dormitory-management-board,data/k3_university/dormitory-management-board.md,Ban Quản lý ký túc xá,https://www.utc.edu.vn/gioi-thieu/ban-quan-ly-ky-tuc-xa,2026-08-03,not-stated,public-page
dormitory-registration-guide,data/k3_university/dormitory-registration-guide.md,Hướng dẫn ký túc xá,https://hotrosinhvien.utc.edu.vn/tin-tuc/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-k%C3%BD-t%C3%BAc-x%C3%A1,2026-08-03,not-stated,public-page
gioi-thieu-chung,data\k3_university\gioi-thieu-chung.md,Giới thiệu chung,https://vnu.edu.vn/dao-tao/gioi-thieu-chung,2026-08-03,1.0,CC BY 4.0
library-services,data/k3_university/library-services.md,Trung tâm Thông tin – Thư viện,https://www.utc.edu.vn/gioi-thieu/trung-tam-thong-tin-thu-vien,2026-08-03,not-stated,public-page
quy-dinh-ve-quan-ly-va-su-dung-hoc-bong-tai-dai-hoc-quoc-gia-ha-noi-post10552,data\k3_university\quy-dinh-ve-quan-ly-va-su-dung-hoc-bong-tai-dai-hoc-quoc-gia-ha-noi-post10552.md,Quy định về quản lý và sử dụng học bổng tại Đại học Quốc gia Hà Nội,https://vnu.edu.vn/quy-dinh-ve-quan-ly-va-su-dung-hoc-bong-tai-dai-hoc-quoc-gia-ha-noi-post10552.html,2026-08-03,1.0,CC BY 4.0
tu-van-ho-tro-viec-lam,data\k3_university\tu-van-ho-tro-viec-lam.md,Tư vấn hỗ trợ việc làm,https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/tu-van-ho-tro-viec-lam,2026-08-03,1.0,CC BY 4.0
tuition-payment-new-students,data/k3_university/tuition-payment-new-students.md,Hướng dẫn nộp học phí và các khoản thu (sinh viên nhập học),https://nhaphoc.utc.edu.vn/content/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-n%E1%BB%99p-h%E1%BB%8Dc-ph%C3%AD-v%C3%A0-c%C3%A1c-kho%E1%BA%A3n-thu-0,2026-08-03,2025,public-page
tuition-scholarship-guide,data/k3_university/tuition-scholarship-guide.md,Hướng dẫn các vấn đề học phí – học bổng, trợ cấp,https://hotrosinhvien.utc.edu.vn/tin-tuc/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn/h%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-c%C3%A1c-v%E1%BA%A5n-%C4%91%E1%BB%81-h%E1%BB%8Dc-ph%C3%AD-%E2%80%93-h%E1%BB%8Dc-b%E1%BB%95ng-tr%E1%BB%A3-c%E1%BA%A5p,2026-08-03,not-stated
vay-von,data\k3_university\vay-von.md,Hỗ trợ sinh viên vay vốn,https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/vay-von,2026-08-03,1.0,CC BY 4.0
